"Tumor_Sample_Barcode","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total"
"TCGA-AB-2839-03B-01W-0728-08",0,1,0,0,2,0,0,0,0,3
"TCGA-AB-2874-03A-01W-0732-08",0,0,0,0,3,0,0,0,0,3
"TCGA-AB-2888-03A-01W-0732-08",0,0,0,1,2,0,0,0,0,3
"TCGA-AB-2911-03A-01W-0732-08",0,0,0,0,2,0,0,1,0,3
"TCGA-AB-2921-03A-01W-0755-09",0,1,0,0,2,0,0,0,0,3
"TCGA-AB-2924-03A-01W-0745-08",0,0,0,0,3,0,0,0,0,3
"TCGA-AB-2941-03A-01W-0745-08",0,0,0,0,3,0,0,0,0,3
"TCGA-AB-2945-03A-01W-0733-08",0,0,0,0,3,0,0,0,0,3
"TCGA-AB-2816-03B-01W-0728-08",0,0,0,0,2,0,0,0,0,2
"TCGA-AB-2834-03B-01W-0728-08",0,0,0,0,1,0,0,1,0,2
"TCGA-AB-2841-03B-01W-0728-08",0,0,0,0,2,0,0,0,0,2
"TCGA-AB-2844-03B-01W-0728-08",0,0,0,0,2,0,0,0,0,2
"TCGA-AB-2869-03A-01W-0761-09",1,1,0,0,0,0,0,0,0,2
"TCGA-AB-2881-03A-01W-0732-08",0,0,0,1,1,0,0,0,0,2
"TCGA-AB-2882-03A-01W-0761-09",0,0,0,0,1,1,0,0,0,2
"TCGA-AB-2900-03A-01W-0733-08",0,0,0,0,2,0,0,0,0,2
"TCGA-AB-2918-03A-01W-0745-08",0,0,0,0,2,0,0,0,0,2
"TCGA-AB-2923-03A-01W-0745-08",0,0,0,0,1,1,0,0,0,2
"TCGA-AB-2931-03A-01W-0745-08",0,1,0,0,1,0,0,0,0,2
"TCGA-AB-2940-03A-01W-0733-08",0,0,0,1,1,0,0,0,0,2
"TCGA-AB-2942-03A-01W-0733-08",0,0,0,0,2,0,0,0,0,2
"TCGA-AB-2809-03D-01W-0755-09",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2811-03B-01W-0728-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2812-03B-01W-0728-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2815-03B-01W-0728-08",0,1,0,0,0,0,0,0,0,1
"TCGA-AB-2831-03A-01W-0726-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2845-03D-01W-0755-09",0,0,0,1,0,0,0,0,0,1
"TCGA-AB-2851-03B-01W-0728-08",0,0,0,0,0,0,0,1,0,1
"TCGA-AB-2863-03D-01W-0755-09",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2865-03B-01W-0728-08",1,0,0,0,0,0,0,0,0,1
"TCGA-AB-2866-03B-01W-0728-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2869-03A-01W-0732-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2873-03A-01W-0732-08",0,0,0,0,0,1,0,0,0,1
"TCGA-AB-2876-03A-01W-0732-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2879-03A-01W-0732-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2880-03A-01W-0732-08",0,1,0,0,0,0,0,0,0,1
"TCGA-AB-2882-03A-01W-0732-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2883-03A-01W-0732-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2884-03A-01W-0732-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2887-03A-01W-0732-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2889-03A-01W-0732-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2893-03A-01W-0733-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2896-03A-01W-0733-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2901-03A-01W-0733-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2920-03A-01W-0732-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2922-03A-01W-0745-08",1,0,0,0,0,0,0,0,0,1
"TCGA-AB-2933-03A-01W-0732-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2934-03A-01W-0745-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2944-03A-01W-0755-09",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2954-03A-01W-0733-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2957-03A-01W-0733-08",0,0,0,0,1,0,0,0,0,1
"TCGA-AB-2836-03B-01W-0728-08",0,0,0,0,0,0,0,0,0,0
"TCGA-AB-2929-03A-01W-0732-08",0,0,0,0,0,0,0,0,0,0
